equipment_type,equipment_name,brand,age,condition,usage_frequency,fuel_type,horsepower,maintenance_score,location,demand_level,rental_duration_preference,fuel_efficiency,technology_level,weather_dependency,seasonal_demand_multiplier,rental_price_per_day
Mower,Seed Drill Model 19,Brand B,4,Poor,112,Hybrid,478,0.6558743362862175,Suburban,0.6429692920831371,Long-Term,11.60212119452115,Basic,Medium,0.8,2336.98
Combine Harvester,Cultivator Model 22,Brand A,13,Good,39,Electric,123,0.8834324120464891,Urban,0.45461198067739406,Long-Term,12.631194343417272,Basic,Low,1.2,1177.21
Plough,Cultivator Model 12,Brand D,2,Good,106,Hybrid,157,0.04803472641444262,Rural,0.8020739243428716,Short-Term,11.733748241108787,Basic,High,1.0,2260.48
Plough,Cultivator Model 43,Brand C,2,Fair,136,Diesel,377,0.7433347031973915,Suburban,0.15048402634321922,Long-Term,10.46779263584333,Intermediate,Medium,1.0,2161.73
Seed Drill,Mower Model 20,Brand C,11,Good,242,Electric,251,0.09337102169895806,Suburban,0.5056504182877145,Long-Term,8.129299746293542,Intermediate,High,1.2,1397.29
Tractor,Harrow Model 4,Brand B,6,Poor,130,Diesel,77,0.7286375800804717,Rural,0.14579350712870087,Short-Term,10.842026997221751,Intermediate,Medium,1.3,516.54
Cultivator,Sprayer Model 45,Brand B,13,Good,104,Electric,386,0.618472701367195,Suburban,0.20129700187836974,Short-Term,7.756946144405551,Basic,High,1.1,3018.3
Plough,Plough Model 1,Brand B,12,Good,216,Hybrid,117,0.37255592361182455,Rural,0.392897614392574,Short-Term,5.4726802409270014,Advanced,Medium,1.0,914.93
Seed Drill,Manure Spreader Model 47,Brand C,7,Fair,263,Diesel,233,0.6245950434801579,Rural,0.5470247472089826,Short-Term,7.013551864262615,Intermediate,Low,1.2,1769.82
Mower,Mower Model 22,Brand C,5,Good,165,Hybrid,235,0.06790125010974934,Suburban,0.8745191996358358,Short-Term,13.493651592437216,Basic,High,0.8,1939.77
Mower,Mower Model 30,Brand C,10,Fair,41,Diesel,128,0.5636644613074216,Rural,0.4081017662102685,Short-Term,6.100647374583156,Basic,High,0.8,745.06
Sprayer,Seed Drill Model 17,Brand C,5,Fair,277,Hybrid,426,0.356703414735971,Urban,0.4559293901424609,Long-Term,6.315568520059762,Intermediate,Medium,0.9,2002.53
Sprayer,Harrow Model 33,Brand D,3,Good,168,Electric,330,0.8862248492374615,Suburban,0.025178121370316386,Short-Term,7.237294409846264,Intermediate,Low,0.9,2101.37
Seed Drill,Combine Harvester Model 39,Brand C,7,Good,234,Diesel,134,0.15678284649904284,Rural,0.6713712936428561,Short-Term,8.636501875776798,Basic,Low,1.2,1292.08
Manure Spreader,Combine Harvester Model 31,Brand B,6,New,161,Hybrid,221,0.41702366484831577,Rural,0.08210111598129799,Long-Term,10.003221799473895,Advanced,Low,1.0,1806.08
Mower,Manure Spreader Model 3,Brand B,5,Good,206,Diesel,173,0.27714123536582014,Suburban,0.3396456632803103,Short-Term,14.815587514356354,Advanced,High,0.8,1293.82
Tractor,Harrow Model 11,Brand A,13,Fair,92,Diesel,126,0.017763924903101747,Rural,0.5143436783797242,Short-Term,12.632026768989501,Basic,Low,1.3,1138.93
Combine Harvester,Manure Spreader Model 12,Brand B,2,Fair,175,Diesel,111,0.4721245089727989,Suburban,0.31117842184240185,Short-Term,11.620452386526612,Intermediate,High,1.2,1034.59
Manure Spreader,Cultivator Model 32,Brand B,9,Good,241,Hybrid,350,0.7772159718333814,Urban,0.3090398957648731,Short-Term,10.511427328893912,Intermediate,Low,1.0,2172.88
Combine Harvester,Seed Drill Model 26,Brand B,12,Good,250,Diesel,397,0.2029079251667706,Suburban,0.9566680932263293,Short-Term,6.607918739246577,Advanced,Low,1.2,5124.3
Harrow,Cultivator Model 49,Brand D,3,Good,10,Electric,492,0.7415836690705416,Rural,0.13115632428378243,Short-Term,10.75411941405351,Basic,Low,1.0,5872.82
Cultivator,Mower Model 16,Brand B,2,Good,54,Diesel,235,0.7433849227068005,Suburban,0.34784960149988653,Short-Term,11.961084685416683,Basic,High,1.1,4066.22
Combine Harvester,Plough Model 49,Brand A,7,Good,295,Electric,383,0.03211363606818263,Rural,0.26098804126026665,Short-Term,9.771370254778448,Advanced,Medium,1.2,4250.53
Combine Harvester,Combine Harvester Model 40,Brand C,12,Good,36,Electric,197,0.677425549677335,Urban,0.2883331570272506,Short-Term,13.469481449537685,Intermediate,Medium,1.2,2023.35
Mower,Sprayer Model 45,Brand C,6,Good,12,Hybrid,324,0.6207518744605668,Urban,0.5633540954563873,Short-Term,11.379880288476311,Basic,Medium,0.8,3841.32
Sprayer,Harrow Model 5,Brand C,3,New,15,Hybrid,428,0.5297486396382707,Suburban,0.3392247027599008,Short-Term,14.337143666913976,Intermediate,High,0.9,7603.12
Mower,Combine Harvester Model 8,Brand D,9,New,189,Diesel,321,0.7862601983212364,Urban,0.30128637520382096,Long-Term,5.612228357842405,Advanced,High,0.8,1578.89
Plough,Mower Model 4,Brand A,2,Fair,141,Hybrid,132,0.9561325616322283,Rural,0.7514848748402805,Short-Term,14.744304293777018,Intermediate,Medium,1.0,1647.7
Manure Spreader,Sprayer Model 14,Brand C,8,Good,161,Diesel,144,0.6651671464455042,Urban,0.7444379827550918,Short-Term,5.377691942394876,Basic,Low,1.0,1325.16
Cultivator,Tractor Model 36,Brand C,8,Fair,166,Electric,391,0.21904105115130412,Rural,0.25629206658929093,Short-Term,10.182960185860983,Basic,Low,1.1,1901.97
Mower,Manure Spreader Model 29,Brand C,3,Fair,149,Electric,196,0.9259470128994985,Rural,0.10928169672606325,Short-Term,11.315578394514077,Basic,High,0.8,920.05
Cultivator,Harrow Model 48,Brand A,13,Poor,214,Electric,227,0.9490943694600665,Urban,0.8430653501584748,Short-Term,5.184554936785793,Intermediate,Low,1.1,1398.57
Cultivator,Tractor Model 4,Brand D,1,Poor,135,Electric,304,0.9758090701951077,Urban,0.6244617873175556,Short-Term,7.0653237919490754,Advanced,High,1.1,3383.53
Harrow,Sprayer Model 17,Brand B,2,Fair,25,Electric,245,0.5207921064279257,Suburban,0.2743302230503475,Long-Term,14.098616947562784,Intermediate,High,1.0,2355.06
Mower,Plough Model 13,Brand C,10,Fair,174,Hybrid,404,0.9731699887272566,Rural,0.16475184580844382,Short-Term,9.74382656799487,Intermediate,Low,0.8,1176.12
Mower,Manure Spreader Model 13,Brand C,14,Good,226,Hybrid,226,0.7038686022821345,Urban,0.6148093717677514,Short-Term,5.719488495335364,Basic,Medium,0.8,1141.03
Plough,Combine Harvester Model 49,Brand A,11,Good,99,Hybrid,400,0.18196361343127387,Urban,0.7316189576165689,Short-Term,9.298655033840408,Basic,High,1.0,4422.46
Sprayer,Seed Drill Model 14,Brand B,14,Good,90,Electric,190,0.2122331564587615,Suburban,0.881439470120589,Long-Term,5.5482654308850945,Basic,Medium,0.9,1568.03
Harrow,Combine Harvester Model 7,Brand B,4,Good,169,Hybrid,287,0.39219888838908923,Urban,0.27207586943304296,Short-Term,5.689144080899825,Basic,Low,1.0,2698.48
Cultivator,Seed Drill Model 3,Brand B,12,Good,191,Hybrid,375,0.7809475219820574,Rural,0.5393750167384215,Short-Term,7.745374418930117,Intermediate,High,1.1,2890.75
Tractor,Plough Model 7,Brand D,14,Good,195,Hybrid,271,0.23289877714259477,Rural,0.024895325752956388,Short-Term,6.662693452350437,Advanced,Medium,1.3,1622.34
Tractor,Mower Model 46,Brand D,9,Good,191,Electric,144,0.23742593169664472,Rural,0.5804584782194939,Long-Term,11.172958727600767,Basic,High,1.3,772.29
Plough,Cultivator Model 7,Brand B,9,Poor,125,Electric,86,0.0003993702705126223,Suburban,0.8331588046217105,Short-Term,13.249823143698482,Intermediate,High,1.0,541.82
Tractor,Plough Model 12,Brand D,12,Fair,31,Hybrid,447,0.3938574884157804,Rural,0.2683428924618405,Short-Term,5.737037910977472,Advanced,High,1.3,4624.39
Manure Spreader,Combine Harvester Model 25,Brand A,14,Good,10,Hybrid,402,0.02983820761204581,Rural,0.4808914564523661,Long-Term,9.626273004500542,Intermediate,High,1.0,4158.02
Tractor,Seed Drill Model 33,Brand A,3,Good,100,Hybrid,357,0.7814026315625391,Suburban,0.8295759493811404,Long-Term,14.008074963807859,Basic,Low,1.3,6246.7
Seed Drill,Tractor Model 24,Brand C,12,Good,261,Diesel,325,0.05942267873924134,Rural,0.8489604030046177,Short-Term,9.442028471678288,Advanced,Medium,1.2,3412.38
Harrow,Harrow Model 36,Brand C,13,Fair,38,Hybrid,428,0.0656038829333424,Suburban,0.5700657367285747,Long-Term,14.464658963746746,Basic,Low,1.0,2220.5
Manure Spreader,Sprayer Model 7,Brand A,8,Good,89,Hybrid,338,0.48915831557103706,Urban,0.38219939964681093,Short-Term,11.757373862233253,Intermediate,High,1.0,3887.34
Seed Drill,Combine Harvester Model 33,Brand C,14,Fair,186,Electric,387,0.7006378792852237,Suburban,0.8188731545649277,Short-Term,10.983890102670053,Intermediate,Medium,1.2,2459.35
Harrow,Combine Harvester Model 49,Brand B,11,Good,245,Diesel,170,0.33618776054104116,Suburban,0.8749638105068421,Long-Term,13.90430285759934,Advanced,High,1.0,1134.57
Tractor,Cultivator Model 12,Brand A,6,Fair,278,Hybrid,416,0.47806229830226954,Urban,0.02535416913730182,Short-Term,11.844091228447011,Intermediate,Medium,1.3,2664.75
Mower,Seed Drill Model 37,Brand D,11,Good,141,Electric,124,0.477187714246494,Suburban,0.16062807836840975,Long-Term,9.337734949309617,Basic,Low,0.8,347.95
Tractor,Combine Harvester Model 5,Brand B,12,Poor,217,Hybrid,484,0.08521135786516298,Suburban,0.7191044520486731,Short-Term,10.896527520828265,Intermediate,Medium,1.3,2699.22
Mower,Tractor Model 34,Brand A,13,Good,102,Electric,357,0.6968070775579512,Urban,0.0721917290915639,Long-Term,6.773783164564076,Advanced,Medium,0.8,1978.64
Cultivator,Mower Model 45,Brand A,5,Poor,14,Electric,399,0.46580995586892826,Suburban,0.9217601637212672,Short-Term,9.68028099250549,Advanced,High,1.1,8022.55
Manure Spreader,Tractor Model 36,Brand A,2,Fair,144,Electric,448,0.6384856008321391,Rural,0.7151283278178175,Short-Term,7.0376742305193405,Basic,Low,1.0,5748.02
Sprayer,Plough Model 8,Brand A,11,Good,89,Electric,290,0.7658151471852946,Suburban,0.8433577751232414,Short-Term,5.129628951722362,Intermediate,Medium,0.9,3794.38
Tractor,Manure Spreader Model 49,Brand A,11,Good,261,Diesel,79,0.4208232309285095,Rural,0.5995167646450436,Short-Term,8.795660920912425,Basic,High,1.3,726.74
Seed Drill,Sprayer Model 42,Brand A,3,Poor,95,Hybrid,416,0.09192966371800104,Rural,0.8367514713041245,Short-Term,9.535789278867217,Basic,Medium,1.2,5865.28
Harrow,Seed Drill Model 49,Brand D,4,Good,203,Diesel,312,0.9404194255837789,Suburban,0.08643567367732952,Long-Term,5.690354016432925,Advanced,High,1.0,1860.95
Mower,Tractor Model 50,Brand C,12,Fair,185,Electric,194,0.42906168103555054,Rural,0.19469617732581568,Long-Term,6.107917118244146,Basic,Medium,0.8,404.7
Seed Drill,Plough Model 5,Brand B,5,Good,66,Electric,173,0.4218912650494755,Suburban,0.6652346891754902,Long-Term,9.814322264898177,Intermediate,Medium,1.2,2785.87
Plough,Cultivator Model 32,Brand C,9,Good,284,Hybrid,139,0.9747813522123066,Rural,0.8632585869575548,Long-Term,12.399432621694373,Basic,Medium,1.0,732.3
Tractor,Seed Drill Model 37,Brand A,8,Fair,199,Hybrid,81,0.5401700166731341,Suburban,0.5830576101386556,Short-Term,7.948665667019791,Basic,High,1.3,674.7
Combine Harvester,Combine Harvester Model 13,Brand C,5,New,292,Electric,389,0.4445893688807595,Rural,0.5534558763480549,Short-Term,6.147268096622181,Basic,Low,1.2,5271.95
Manure Spreader,Plough Model 33,Brand D,6,Good,158,Hybrid,286,0.4777408564631801,Rural,0.2398604948614398,Long-Term,12.522696891946904,Basic,Low,1.0,1299.26
Harrow,Sprayer Model 21,Brand C,6,New,210,Hybrid,313,0.649053199527483,Rural,0.33068953431703285,Short-Term,5.62411695946126,Intermediate,Low,1.0,3139.0
Combine Harvester,Manure Spreader Model 9,Brand A,7,New,20,Electric,83,0.5541783305352056,Rural,0.8483907827181181,Long-Term,11.201939534688137,Basic,Medium,1.2,1788.3
Combine Harvester,Harrow Model 24,Brand D,1,Good,295,Electric,292,0.034996178150308865,Urban,0.7318606564355025,Short-Term,10.051770249509257,Basic,Medium,1.2,3731.86
Plough,Mower Model 25,Brand B,3,Good,238,Diesel,335,0.10131566434106631,Urban,0.3122317496982422,Short-Term,7.184160326768394,Intermediate,Low,1.0,3438.64
Combine Harvester,Cultivator Model 42,Brand C,7,Fair,166,Hybrid,411,0.26582456568109025,Suburban,0.5805239135508943,Short-Term,6.919000414676326,Basic,Low,1.2,3167.31
Seed Drill,Tractor Model 30,Brand B,2,New,182,Electric,222,0.18413071948620352,Rural,0.6555711705176969,Long-Term,10.727052333244632,Intermediate,High,1.2,3203.62
Harrow,Tractor Model 11,Brand C,14,Good,210,Diesel,116,0.660683138828423,Urban,0.30013438519357327,Long-Term,7.751608057508862,Basic,High,1.0,425.51
Plough,Sprayer Model 49,Brand B,7,Fair,275,Hybrid,320,0.6825177095930351,Urban,0.12632035734109404,Long-Term,14.863703866038158,Intermediate,Medium,1.0,1036.39
Manure Spreader,Mower Model 32,Brand A,13,Good,59,Diesel,259,0.5509369395521628,Rural,0.04457468672126075,Short-Term,6.334555827922283,Intermediate,Medium,1.0,2313.66
Manure Spreader,Combine Harvester Model 10,Brand B,8,Good,222,Diesel,178,0.5733137867576982,Urban,0.00413695466880748,Long-Term,14.042813347918532,Basic,Medium,1.0,585.51
Seed Drill,Tractor Model 3,Brand B,13,Fair,35,Electric,283,0.028294576262289595,Rural,0.9596011055083395,Long-Term,13.530998992823744,Intermediate,Low,1.2,2740.25
Manure Spreader,Plough Model 34,Brand C,9,Good,161,Diesel,315,0.03731640629595523,Rural,0.4102253030384203,Short-Term,6.176480471488369,Intermediate,High,1.0,2328.39
Cultivator,Manure Spreader Model 40,Brand B,13,Poor,241,Diesel,313,0.6688742366051752,Rural,0.5559855323666479,Long-Term,10.955209666535152,Advanced,Low,1.1,1183.54
Cultivator,Combine Harvester Model 35,Brand B,9,Poor,106,Diesel,123,0.12428186004618691,Suburban,0.785161599395542,Short-Term,14.842724387738098,Basic,High,1.1,786.64
Manure Spreader,Combine Harvester Model 17,Brand D,7,Fair,56,Hybrid,179,0.22792015820999134,Rural,0.13213015085189372,Short-Term,9.643332433289203,Basic,Medium,1.0,1091.65
Sprayer,Seed Drill Model 49,Brand C,5,Good,272,Hybrid,136,0.3805851765166893,Suburban,0.25806648516404507,Short-Term,7.222195358882487,Advanced,Medium,0.9,1141.05
Tractor,Manure Spreader Model 25,Brand D,2,Good,243,Diesel,355,0.6135046852021705,Suburban,0.17378782851091368,Short-Term,7.035314197634967,Intermediate,Medium,1.3,3681.19
Sprayer,Tractor Model 44,Brand C,5,Good,184,Electric,232,0.0796667625126194,Rural,0.5260404989751707,Short-Term,10.648975955339749,Basic,Low,0.9,1698.31
Tractor,Mower Model 11,Brand C,10,Good,266,Electric,494,0.08000125334224373,Rural,0.2589506657574303,Short-Term,6.421479829238006,Advanced,High,1.3,4054.58
Plough,Seed Drill Model 2,Brand D,14,Fair,61,Electric,135,0.5282897201336029,Urban,0.5144969117530354,Short-Term,9.811696864865965,Basic,Low,1.0,830.71
Mower,Seed Drill Model 24,Brand B,9,Poor,192,Diesel,343,0.19845861534321263,Urban,0.9270795944853155,Short-Term,9.054664445077565,Basic,High,0.8,1369.06
Manure Spreader,Plough Model 29,Brand B,11,Good,125,Electric,145,0.27638330918511633,Urban,0.40659381656034466,Short-Term,5.0728328688854765,Advanced,Medium,1.0,1516.84
Plough,Harrow Model 7,Brand C,1,Good,220,Hybrid,56,0.9661205971891881,Rural,0.5234452608057999,Long-Term,5.175971224226164,Intermediate,Low,1.0,527.87
Harrow,Manure Spreader Model 37,Brand B,1,Good,199,Diesel,396,0.8633394832250955,Urban,0.369982373924414,Long-Term,7.625389306719539,Basic,High,1.0,3206.79
Cultivator,Harrow Model 36,Brand C,14,Good,292,Electric,452,0.2444931624133483,Rural,0.4173164732728436,Long-Term,8.562670688884308,Intermediate,Low,1.1,2153.09
Cultivator,Plough Model 12,Brand B,7,Good,236,Electric,455,0.8737399719622636,Suburban,0.989437270971653,Short-Term,10.66373875650427,Basic,High,1.1,5057.89
Manure Spreader,Sprayer Model 44,Brand B,6,Good,243,Electric,426,0.8653888305930482,Suburban,0.6171512420348315,Short-Term,14.601445044000537,Advanced,High,1.0,4508.15
Mower,Manure Spreader Model 35,Brand C,10,Good,281,Diesel,477,0.850533462870217,Suburban,0.6820955206182734,Short-Term,11.027219148551369,Intermediate,Low,0.8,2489.65
Harrow,Combine Harvester Model 8,Brand D,11,Fair,22,Hybrid,169,0.4489137726869945,Urban,0.27220380507433084,Long-Term,13.76238105036246,Intermediate,Medium,1.0,749.14
Combine Harvester,Cultivator Model 42,Brand B,2,Fair,54,Diesel,478,0.8650842980701577,Suburban,0.7840434601989383,Short-Term,11.233771814975931,Advanced,High,1.2,11820.44
Sprayer,Seed Drill Model 14,Brand A,14,Good,80,Diesel,479,0.008744577421661348,Suburban,0.6163842999078025,Short-Term,9.967747873636952,Intermediate,Medium,0.9,5174.41
Sprayer,Harrow Model 7,Brand D,14,Fair,230,Diesel,395,0.16832826971818238,Suburban,0.9250146683841436,Short-Term,11.74369649705989,Intermediate,Medium,0.9,1765.46
Combine Harvester,Cultivator Model 10,Brand A,1,Good,125,Electric,395,0.014959459630930927,Urban,0.1822092969211574,Short-Term,10.014557387251248,Basic,Low,1.2,6046.89
Harrow,Cultivator Model 47,Brand D,5,Poor,95,Diesel,103,0.7837961852632129,Rural,0.2154275048773543,Short-Term,8.832021892514868,Basic,High,1.0,537.34
Combine Harvester,Tractor Model 29,Brand A,5,Fair,263,Diesel,437,0.9682474605664768,Rural,0.9367872919111279,Short-Term,9.501106962021128,Basic,High,1.2,4985.32
Harrow,Seed Drill Model 11,Brand A,11,Good,187,Hybrid,211,0.4835729298300222,Rural,0.9621009320478577,Short-Term,13.306858375289073,Intermediate,High,1.0,1837.23
Manure Spreader,Tractor Model 35,Brand C,1,New,61,Electric,414,0.08618472338074978,Rural,0.28360838420282175,Short-Term,10.425093897454234,Intermediate,High,1.0,8254.57
Combine Harvester,Harrow Model 48,Brand B,12,New,78,Diesel,332,0.5053300877159979,Rural,0.16395137416419936,Short-Term,6.850155775765421,Basic,Low,1.2,3837.16
Seed Drill,Seed Drill Model 13,Brand C,11,Poor,163,Electric,442,0.2991798367561792,Suburban,0.6745896497343119,Short-Term,9.829302294498222,Basic,High,1.2,2071.57
Harrow,Sprayer Model 40,Brand B,6,New,276,Hybrid,375,0.6272365693778504,Suburban,0.4009787798285067,Short-Term,9.369909095378308,Intermediate,Medium,1.0,4055.34
Sprayer,Manure Spreader Model 35,Brand D,8,Good,173,Electric,292,0.7783009986917011,Urban,0.3376963711842852,Short-Term,8.456443082267214,Intermediate,Medium,0.9,1630.59
Manure Spreader,Mower Model 17,Brand A,10,Good,102,Hybrid,236,0.10042221693398412,Urban,0.6741024658404435,Short-Term,10.129908915209533,Intermediate,High,1.0,2698.57
Cultivator,Mower Model 38,Brand D,14,Good,166,Diesel,148,0.09556869822107072,Rural,0.897984805710226,Short-Term,11.204882519105814,Basic,Medium,1.1,1065.34
Cultivator,Mower Model 42,Brand B,4,Fair,89,Hybrid,477,0.43334186575599387,Rural,0.47921728134979436,Short-Term,13.149653005699857,Intermediate,Medium,1.1,5749.12
Mower,Tractor Model 31,Brand A,9,Fair,138,Electric,294,0.6448640051948754,Rural,0.7309211036545569,Short-Term,8.583561443514581,Intermediate,Low,0.8,2041.46
Manure Spreader,Plough Model 38,Brand B,6,Good,114,Hybrid,192,0.8419734997761578,Urban,0.8394479937333865,Short-Term,10.414471735422678,Basic,High,1.0,2670.59
Harrow,Cultivator Model 18,Brand C,7,Good,219,Hybrid,372,0.5832513142278427,Urban,0.17069587485736482,Long-Term,11.373912826187755,Advanced,Low,1.0,1932.58
Combine Harvester,Cultivator Model 23,Brand A,5,Poor,40,Hybrid,185,0.7812491530071023,Rural,0.9581825331349141,Short-Term,9.823214068638013,Intermediate,Low,1.2,3230.31
Harrow,Harrow Model 21,Brand C,12,Good,281,Diesel,479,0.4552312255079741,Urban,0.34684284576589763,Long-Term,6.381925895631487,Basic,Medium,1.0,1867.92
Mower,Manure Spreader Model 25,Brand C,1,Fair,103,Electric,278,0.04263826886774669,Rural,0.5783209120845523,Short-Term,12.377044591836565,Intermediate,Medium,0.8,2708.48
Harrow,Tractor Model 3,Brand A,4,Good,167,Electric,98,0.6737678942872662,Rural,0.68346923999352,Short-Term,8.157910479648244,Advanced,Low,1.0,1667.6
Combine Harvester,Tractor Model 44,Brand B,10,New,166,Electric,75,0.8096535958951947,Suburban,0.04078392724056856,Short-Term,8.524675387920484,Advanced,Low,1.2,676.66
Plough,Harrow Model 34,Brand D,4,Good,95,Diesel,64,0.7803517919480589,Suburban,0.49502888577311766,Short-Term,11.35187017939133,Intermediate,Low,1.0,785.39
Sprayer,Seed Drill Model 30,Brand C,12,Fair,217,Diesel,137,0.3063037900965586,Urban,0.514021059165197,Short-Term,14.378284641341848,Intermediate,Low,0.9,505.89
Combine Harvester,Harrow Model 18,Brand A,14,Good,282,Hybrid,276,0.8921847394740479,Rural,0.551165575518504,Short-Term,9.089727554498417,Basic,Low,1.2,2259.79
Combine Harvester,Tractor Model 41,Brand C,4,New,250,Diesel,321,0.14109545093737108,Urban,0.5532917404067642,Short-Term,9.0526689013684,Intermediate,High,1.2,4828.54
Combine Harvester,Mower Model 2,Brand C,9,New,64,Diesel,421,0.11900472703397658,Suburban,0.8944423167701668,Short-Term,12.049400506472288,Intermediate,High,1.2,8242.71
Sprayer,Plough Model 15,Brand B,4,Poor,252,Hybrid,480,0.845987230072966,Urban,0.7376298970408426,Short-Term,8.444863690750775,Basic,Medium,0.9,2860.72
Combine Harvester,Combine Harvester Model 1,Brand C,1,Good,213,Electric,351,0.7992964963147091,Urban,0.8344854090473814,Short-Term,10.571405611522735,Basic,Medium,1.2,5224.77
Harrow,Manure Spreader Model 28,Brand C,6,Good,281,Diesel,390,0.913984141451139,Urban,0.7440484704059641,Short-Term,7.55136430839189,Intermediate,High,1.0,3955.58
Tractor,Combine Harvester Model 36,Brand B,5,Good,198,Diesel,56,0.3359149587868474,Urban,0.1555618571501225,Short-Term,12.804984476339785,Intermediate,Medium,1.3,518.84
Sprayer,Manure Spreader Model 27,Brand A,6,Good,59,Diesel,55,0.6778765326709071,Urban,0.7227304508465899,Long-Term,5.634069398796098,Intermediate,Low,0.9,775.72
Plough,Plough Model 14,Brand C,4,Good,129,Diesel,458,0.39333470897135836,Urban,0.7823330041193295,Long-Term,9.004574185682198,Intermediate,Low,1.0,5116.12
Harrow,Manure Spreader Model 34,Brand B,6,Fair,229,Hybrid,64,0.7958387547471457,Rural,0.9603698474596312,Short-Term,14.216218136562862,Intermediate,Medium,1.0,525.46
Combine Harvester,Mower Model 7,Brand C,8,Good,111,Hybrid,418,0.8255015671756255,Urban,0.6856449368953933,Short-Term,6.777054760401762,Intermediate,High,1.2,5952.51
Cultivator,Cultivator Model 5,Brand A,1,Poor,161,Hybrid,275,0.7356640905422466,Urban,0.7170169390164117,Long-Term,9.667481215586918,Intermediate,Low,1.1,2308.63
Plough,Manure Spreader Model 43,Brand D,4,Fair,43,Hybrid,154,0.6957341288736006,Suburban,0.9257984888690478,Long-Term,9.329363785522448,Basic,High,1.0,1546.32
Seed Drill,Manure Spreader Model 19,Brand A,9,Poor,297,Electric,68,0.26926155520564465,Urban,0.8161495085142181,Long-Term,14.173664301130477,Basic,Low,1.2,282.38
Sprayer,Tractor Model 20,Brand B,6,Poor,59,Hybrid,227,0.7862870358565445,Suburban,0.7672334269795188,Long-Term,13.976689624713995,Advanced,Medium,0.9,1757.01
Tractor,Plough Model 12,Brand D,11,Good,291,Diesel,121,0.08659201350175849,Urban,0.11073986699564031,Short-Term,6.885016081878338,Basic,Low,1.3,601.36
Mower,Seed Drill Model 46,Brand A,5,Good,72,Diesel,105,0.48494568581225606,Rural,0.7079877305390757,Short-Term,8.165627629047789,Intermediate,Low,0.8,1702.1
Seed Drill,Manure Spreader Model 11,Brand A,11,Good,164,Diesel,128,0.6117260738918212,Urban,0.8243548383148176,Long-Term,7.482766680619899,Intermediate,Low,1.2,1155.32
Cultivator,Cultivator Model 3,Brand A,4,Fair,84,Diesel,243,0.9808976522408542,Urban,0.5994075002028371,Short-Term,6.650096909495873,Basic,Medium,1.1,3641.08
